Einzelkuer weiblich U15;P1;31;5.500;5.500;6.000;P2;31;6.000;6.000;6.000;P3;31;4.000;4.500;3.000;P4;31;3.500;3.000;5.000;P5;31;3.000;4.000;4.000
Einzelkuer weiblich U15;P1;32;4.500;5.000;5.500;P2;32;5.000;6.000;5.000;P3;32;5.000;6.000;4.000;P4;32;5.000;5.000;4.000;P5;32;4.000;5.000;4.000
Einzelkuer weiblich U15;P1;33;7.500;7.000;7.000;P2;33;7.500;7.000;7.000;P3;33;6.000;5.000;6.000;P4;33;7.000;6.000;5.500;P5;33;4.500;5.000;4.000
Einzelkuer weiblich U15;P1;34;6.500;6.000;7.000;P2;34;5.500;5.500;5.500;P3;34;3.000;4.500;3.000;P4;34;4.500;4.500;3.000;P5;34;5.500;5.500;6.000
Einzelkuer weiblich U15;P1;35;5.000;5.500;6.000;P2;35;5.000;6.000;5.000;P3;35;5.000;5.000;4.500;P4;35;4.000;4.000;3.000;P5;35;7.000;7.000;7.000
Einzelkuer weiblich U15;P1;36;5.500;6.000;6.500;P2;36;4.250;5.000;6.000;P3;36;3.500;4.500;3.000;P4;36;4.000;5.000;2.500;P5;36;5.000;5.000;6.000
Einzelkuer weiblich U15;P1;37;4.000;4.500;5.000;P2;37;4.000;5.000;5.000;P3;37;3.000;4.500;2.000;P4;37;2.000;3.500;3.000;P5;37;3.000;3.500;4.000
Einzelkuer maennlich U15;P1;38;5.500;5.600;5.000;P2;38;4.650;5.000;6.000;P3;38;3.000;3.000;3.000;P4;38;7.000;6.000;6.000;P5;38;6.500;6.000;6.000
Einzelkuer maennlich U15;P1;39;6.000;5.000;5.500;P2;39;6.500;5.500;5.500;P3;39;4.000;1.500;3.000;P4;39;7.500;5.000;4.500;P5;39;6.500;5.000;3.000
Einzelkuer maennlich U15;P1;40;4.000;4.000;5.000;P2;40;5.000;5.000;6.000;P3;40;4.500;2.000;4.000;P4;40;8.000;4.000;6.500;P5;40;6.500;5.500;6.000
Einzelkuer maennlich 15+;P1;41;3.000;2.500;1.500;P2;41;5.000;5.000;4.000;P3;41;3.000;3.000;3.000;P4;41;6.000;7.000;6.000;P5;41;3.000;5.000;4.000
Einzelkuer maennlich 15+;P1;42;5.000;4.500;4.000;P2;42;6.500;6.000;6.000;P3;42;5.000;5.000;5.000;P4;42;9.000;9.000;8.000;P5;42;5.000;7.000;6.000
Einzelkuer weiblich U16;P1;43;8.000;7.500;8.000;P2;43;6.500;5.800;5.500;P3;43;6.000;5.500;4.500;P4;43;7.000;6.000;7.000;P5;43;6.000;5.000;5.000
Einzelkuer weiblich U16;P1;44;7.000;8.000;8.500;P2;44;7.000;6.500;6.000;P3;44;6.000;4.000;4.000;P4;44;8.500;7.000;8.500;P5;44;6.500;6.500;5.000
Einzelkuer weiblich U16;P1;45;7.500;6.500;7.500;P2;45;6.800;6.000;6.000;P3;45;6.500;4.500;4.250;P4;45;8.500;6.500;8.000;P5;45;5.500;5.000;5.000
Einzelkuer weiblich U16;P1;47;8.000;7.500;7.000;P2;47;5.500;4.900;4.000;P3;47;4.500;3.500;3.000;P4;47;8.000;6.000;6.000;P5;47;3.500;4.500;4.000
Einzelkuer weiblich U16;P1;49;4.500;4.000;3.500;P2;49;3.900;3.000;2.500;P3;49;3.000;3.000;2.500;P4;49;5.000;4.500;4.500;P5;49;2.000;2.000;3.000
Einzelkuer weiblich U17;P1;50;7.500;8.000;7.500;P2;50;4.000;3.000;4.000;P3;50;4.500;4.800;4.000;P4;50;7.000;6.000;7.000;P5;50;3.000;2.000;1.500
Einzelkuer weiblich U17;P1;51;5.500;6.000;6.000;P2;51;4.000;3.000;2.500;P3;51;3.900;3.500;3.800;P4;51;5.000;5.500;5.500;P5;51;1.000;2.000;0.500
Einzelkuer weiblich U17;P1;52;4.000;5.000;3.000;P2;52;3.000;2.500;2.000;P3;52;5.000;5.000;4.000;P4;52;4.000;4.000;3.000;P5;52;0.750;1.500;0.200
Einzelkuer weiblich U17;P1;53;7.000;6.500;7.000;P2;53;4.000;4.000;2.750;P3;53;5.500;5.000;4.000;P4;53;8.500;7.000;7.000;P5;53;3.500;1.000;2.500
Einzelkuer weiblich U17;P1;54;4.500;5.000;3.500;P2;54;2.500;2.750;2.500;P3;54;4.000;4.000;4.200;P4;54;4.500;5.000;5.500;P5;54;2.000;1.750;0.750
Einzelkuer weiblich U17;P1;56;3.500;4.000;3.000;P2;56;2.000;2.000;2.000;P3;56;3.000;3.000;3.000;P4;56;3.500;3.500;3.000;P5;56;0.500;0.500;0.100
Einzelkuer weiblich 17+;P1;57;7.000;7.500;8.000;P2;57;6.000;5.000;6.000;P3;57;6.000;5.500;4.000;P4;57;8.500;6.000;7.500;P5;57;7.500;7.000;8.000
Einzelkuer weiblich 17+;P1;58;6.000;7.000;7.500;P2;58;5.000;4.000;5.000;P3;58;7.000;5.800;5.000;P4;58;7.000;6.500;7.000;P5;58;5.000;5.000;6.000
Einzelkuer weiblich 17+;P1;59;4.000;4.500;5.000;P2;59;5.000;4.500;5.000;P3;59;4.500;3.900;3.000;P4;59;5.500;5.000;6.000;P5;59;3.000;4.000;5.000
Einzelkuer weiblich 17+;P1;62;5.000;6.000;4.000;P2;62;4.500;4.000;4.000;P3;62;3.800;2.500;2.500;P4;62;5.500;6.000;5.500;P5;62;6.000;6.500;5.500
Einzelkuer weiblich 17+;P1;63;2.500;2.500;3.000;P2;63;1.500;2.000;2.000;P3;63;2.000;2.000;2.000;P4;63;3.000;3.000;3.500;P5;63;2.000;2.000;0.500
Einzelkuer weiblich 17+;P1;65;8.000;8.000;9.000;P2;65;9.000;9.000;8.000;P3;65;8.500;7.500;8.500;P4;65;9.500;9.000;8.500;P5;65;7.500;7.000;8.500
